empresa,estado,cidade,segmento,area,assunto,problema,data_abertura,classificacao,nota_satisfacao,ano,mes
Caixa Seguradora,DF,Brasília,"Seguros, Capitalização e Previdência",Serviços Financeiros,Seguros de Veículos,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-09,Não Avaliada,,2026,1
Correios,CE,Fortaleza,Empresas de Serviços Postais e Logística,Demais Serviços,Serviços Postais,Não entrega / demora na entrega do produto,2026-01-09,Não Avaliada,,2026,1
ARC4,SC,Laguna,Empresas de Recuperação de Crédito,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Não entrega do contrato ou documentação relacionada ao serviço,2026-01-09,Não Avaliada,,2026,1
Midway (Riachuelo),BA,Itaberaba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-12,Não Avaliada,,2026,1
Omni Financeira,CE,Redenção,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Negativação indevida referente à pagamento já efetuado,2026-01-05,Não Resolvida,5.0,2026,1
Senff,SP,São Sebastião,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-14,Não Avaliada,,2026,1
Vivo - Telefônica,MG,Ibirit?,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,"Negativação indevida (SPC, Serasa, SCPC etc)",2026-01-06,,,2026,1
Neoenergia Elektro,SP,São Paulo,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança por Irregularidade ou defeito na medição,2026-01-13,Não Avaliada,,2026,1
Caixa Econômica Federal,SP,Ribeirão Preto,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamento de Imóveis,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-12,,,2026,1
Banco Bradesco,PI,Colônia do Gurguéia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-08,Não Avaliada,,2026,1
Serasa Experian,AL,Maceió,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito)",2026-01-13,Não Avaliada,,2026,1
Sky Airline,ES,Colatina,Transporte Aéreo,Transportes,Aéreo,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-13,Não Avaliada,,2026,1
Serasa Experian,GO,Rio Verde,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-02,Não Avaliada,,2026,1
Swiss,SC,Balneário Camboriú,Transporte Aéreo,Transportes,Aéreo,Cancelamento indevido da passagem de volta,2026-01-24,Não Avaliada,,2026,1
Cardif Vida,MT,Sinop,"Seguros, Capitalização e Previdência",Serviços Financeiros,Demais Seguros,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-04,,,2026,1
Correios,BA,Barreiras,Empresas de Serviços Postais e Logística,Demais Serviços,Serviços Postais,Não entrega / demora na entrega do produto,2026-01-02,Não Avaliada,,2026,1
Serasa Experian,MG,Belo Horizonte,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-06,Não Avaliada,,2026,1
Enel Distribuição São Paulo (Eletropaulo),SP,São Paulo,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança por serviços não realizados / atrasados ou por consumo elevado,2026-01-11,Não Avaliada,,2026,1
Uber,DF,Brasília,Empresas de Intermediação de Serviços / Negócios,Demais Serviços,Aplicativo de mobilidade urbana,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-09,Não Resolvida,1.0,2026,1
Centauro.com.br,MG,Juiz de Fora,Comércio Eletrônico,Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Não entrega / demora na entrega do produto,2026-01-02,Não Resolvida,1.0,2026,1
Serasa Experian,MG,Pará de Minas,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-04,Não Avaliada,,2026,1
Sicredi,SC,Porto Belo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,2026-01-13,Não Avaliada,,2026,1
ARC4,CE,Quixeramobim,Empresas de Recuperação de Crédito,Serviços Financeiros,Score / Pontuação de Crédito,"Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito)",2026-03-25,Não Avaliada,,2026,3
Tim,PB,Riacho dos Cavalos,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança após cancelamento do serviço,2026-03-03,Resolvida,5.0,2026,3
Banco Pan,SP,Hortolândia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-03-09,Não Avaliada,,2026,3
Serasa Experian,BA,São José do Jacuípe,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-09,Não Avaliada,,2026,1
Shopee Brasil,PR,Foz do Iguaçu,Comércio Eletrônico,Demais Produtos,"Produtos para crianças (carrinho, brinquedos, cadeira, vestuário, mamadeira, etc)",Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento),2026-01-11,Não Avaliada,,2026,1
Latam Airlines (Tam),AM,Manaus,Transporte Aéreo,Demais Serviços,"Programas de Fidelidade / Benefícios (pontos, milhagem etc)",Dificuldade para contratar / recusa injustificada,2026-01-13,Não Avaliada,,2026,1
Claro Celular,SP,Piracicaba,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,SAC - Dificuldade para cancelar o serviço,2026-04-16,Resolvida,5.0,2026,4
Samsung,SP,Araras,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Produtos Eletrodomésticos e Eletrônicos,Televisão,Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica,2026-04-09,Não Resolvida,1.0,2026,4
Magazine Luiza - Loja Online,BA,Salvador,Comércio Eletrônico,Demais Produtos,"Utilidades Domésticas e Decoração (para limpeza, cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem etc)",Não entrega / demora na entrega do produto,2026-01-08,Não Avaliada,,2026,1
QuintoAndar,RJ,Rio de Janeiro,"Construtoras, Incorporadoras e Imobiliárias",Habitação,Aluguel de Imóvel,Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação,2026-01-14,Não Avaliada,,2026,1
Cartões Renner (Realize CFI),PA,Belém,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-12,Não Resolvida,1.0,2026,1
Vivo - Telefônica,SP,Santo André,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho de telefone fixo / interfone,"Negativação indevida (SPC, Serasa, SCPC etc)",2026-04-17,Não Resolvida,1.0,2026,4
Azul Linhas Aéreas,AL,Maceió,Transporte Aéreo,Transportes,Aéreo,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",2026-01-12,Não Avaliada,,2026,1
Nubank,PA,Capitão Poço,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,SAC - Dificuldade para cancelar o serviço,2026-02-27,Não Avaliada,,2026,2
Vivo - Telefônica,AL,Maceió,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-02-23,Resolvida,5.0,2026,2
Shopee Brasil,ES,Vargem Grande do Soturno,Comércio Eletrônico,Demais Produtos,"Utilidades Domésticas e Decoração (para limpeza, cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem etc)",Produto entregue incompleto / diferente do  pedido,2026-02-26,Não Avaliada,,2026,2
Casasbahia.com,RS,Caxias do Sul,Comércio Eletrônico,Produtos de Telefonia e Informática,Aparelho celular,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-07,,,2026,1
Cartão Carrefour,PA,Belém,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-01,Não Resolvida,1.0,2026,1
Banco Itaú Unibanco,MG,Belo Horizonte,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-04,Não Avaliada,,2026,1
Banco do Brasil,PI,Barras,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-21,Não Avaliada,,2026,1
BetFusion,SP,Presidente Prudente,"Empresas de Apostas, Loterias e Promoções Comerciais","Loterias, Apostas e Promoções Comerciais",Apostas,Dificuldade para rescindir o contrato / cancelar o serviço,2026-01-06,Resolvida,5.0,2026,1
Banco do Brasil,RS,Santa Cruz do Sul,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Não entrega do contrato ou documentação relacionada ao serviço,2026-01-14,Não Avaliada,,2026,1
Mercado Pago,GO,Goiânia,Empresas de Pagamento Eletrônico,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Negativação indevida referente à pagamento já efetuado,2026-01-12,,,2026,1
Vivara,MG,Montes Claros,"Vestuário, Calçados e Acessórios",Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica,2026-01-01,Não Avaliada,,2026,1
Banco Bmg,SP,Piracicaba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Informações incompletas / inadequadas sobre o serviço,2026-01-12,Não Avaliada,,2026,1
Banco BV (antigo Banco Votorantim),SP,São Bernardo do Campo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Não entrega do contrato ou documentação relacionada ao serviço,2026-01-20,,,2026,1
Neoenergia Coelba,BA,Salvador,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Danos materiais causados por falha na prestação do serviço (queima de aparelhos elétricos),2026-01-10,,,2026,1
Uber,PE,Cabo de Santo Agostinho,Empresas de Intermediação de Serviços / Negócios,Demais Serviços,Aplicativo de mobilidade urbana,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,2026-01-10,Não Avaliada,,2026,1
Magazine Luiza - Loja Online,MG,Entre Rios de Minas,Comércio Eletrônico,Produtos de Telefonia e Informática,Aparelho celular,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-09,,,2026,1
Sicredi,SP,Avaré,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-02-05,Não Avaliada,,2026,2
Casasbahia.com,SP,São Paulo,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,Televisão,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-12,Resolvida,1.0,2026,1
Editora Globo,PR,Medianeira,Editoras e Veículos de Imprensa,Demais Serviços,"Jornais, revistas e demais veículos de notícias",Dificuldade para rescindir o contrato / cancelar o serviço,2026-01-12,Não Avaliada,,2026,1
Facebook / Instagram,MG,Lagoa Santa,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Suspensão ou desligamento indevido do serviço,2026-01-08,Não Resolvida,1.0,2026,1
Banco BTG Pactual,CE,Eusébio,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Dificuldade de acesso a dados pessoais ou financeiros,2026-01-14,Não Avaliada,,2026,1
Latam Airlines (Tam),RS,São Leopoldo,Transporte Aéreo,Transportes,Aéreo,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-07,Não Avaliada,,2026,1
Latam Airlines (Tam),RJ,Rio de Janeiro,Transporte Aéreo,Transportes,Aéreo,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-04,Resolvida,5.0,2026,1
Azul Fidelidade (Antiga Tudo Azul),SP,Ribeirão Preto,Programas de Fidelidade,Demais Serviços,"Programas de Fidelidade / Benefícios (pontos, milhagem etc)",Dificuldade para alterar ou cancelar o contrato /serviço,2026-02-08,Resolvida,5.0,2026,2
Cartões Renner (Realize CFI),RS,Imbé,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Dificuldade de reclamar ou de obter tratamento a reclamação sobre dados pessoais ou financeiros,2026-02-10,Não Avaliada,,2026,2
Serasa Experian,PI,Teresina,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-08,Não Avaliada,,2026,1
Picpay Instituição de Pagamento S/A,SP,Salto,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-05,,,2026,1
Banco Bradesco,SP,Hortolândia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-08,Não Avaliada,,2026,1
Recovery do Brasil Consultoria,GO,Quirinópolis,Empresas de Recuperação de Crédito,Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Dificuldade de cancelamento / eliminação de dados / revogação do consentimento,2026-02-19,Não Avaliada,,2026,2
Globoplay,MA,São Luís,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Alteração de plano/contrato sem solicitação ou aviso prévio,2026-02-16,,,2026,2
Correios,MT,Sorriso,Empresas de Serviços Postais e Logística,Demais Serviços,Serviços Postais,Não entrega / demora na entrega do produto,2026-01-13,Não Avaliada,,2026,1
Trio Instituição de Pagamento (Desativada),PR,Maringá,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Consulta / Monitoramento de CPF,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-11,Não Avaliada,,2026,1
Sabesp,SP,São Paulo,Agua e Saneamento,"Água, Energia, Gás",Água e Esgoto,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-03-17,Não Resolvida,1.0,2026,3
Banco Santander,CE,Barbalha,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-04,Não Avaliada,,2026,1
Itaú Consignado,SP,Poá,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),SAC - Dificuldade para cancelar o serviço,2026-01-27,Não Avaliada,,2026,1
Caixa Econômica Federal,MG,Uberlândia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-09,Não Resolvida,2.0,2026,1
Caixa Econômica Federal,PR,Cascavel,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-08,,,2026,1
Caixa Econômica Federal,RO,Ariquemes,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamento de Imóveis,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-07,,,2026,1
Booking.com,MG,Cristina,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Pacote / excursão / agência de turismo,Não entrega do contrato ou documentação relacionada ao serviço,2026-01-04,Não Avaliada,,2026,1
Serasa Experian,SP,São Paulo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Inadequação de tratamento  em razão de discriminação racial, de etnia e de procedência nacional",2026-01-07,Não Avaliada,,2026,1
Banco Santander,DF,Brasília,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-11,Não Avaliada,,2026,1
Banco Santander,SP,São Bernardo do Campo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-03,Não Avaliada,,2026,1
Banco do Brasil,MT,Ribeirãozinho,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Renegociação / parcelamento de dívida,2026-04-02,Não Resolvida,1.0,2026,4
Claro Celular,AL,Maceió,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,"Negativação indevida (SPC, Serasa, SCPC etc)",2026-01-13,,,2026,1
Google,BA,Salvador,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Dificuldade de contato / demora no atendimento,2026-02-17,Não Avaliada,,2026,2
Banco Pan,PR,Assis Chateaubriand,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-08,Não Avaliada,,2026,1
Zurich Santander Vida e Previdência,SP,São Paulo,"Seguros, Capitalização e Previdência",Serviços Financeiros,Seguro Prestamista,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-22,,,2026,1
Caixa Econômica Federal,SP,Pindamonhangaba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamento de Imóveis,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-11,Não Resolvida,1.0,2026,1
Drogarias Pacheco,TO,Palmas,Farmácias,Saúde,"Produtos relacionados a saúde, exceto medicamentos ( próteses, aparelhos corretivos, auxiliares de diagnóstico, produtos óticos, ortopédicos, contraceptivos etc)",Não entrega / demora na entrega do produto,2026-01-03,Não Resolvida,4.0,2026,1
Banco Santander,SC,Florianópolis,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,Fila em banco,2026-02-04,Não Avaliada,,2026,2
BetMGM,RJ,Barra Mansa,"Empresas de Apostas, Loterias e Promoções Comerciais","Loterias, Apostas e Promoções Comerciais",Apostas,Dificuldade de ressarcimento / indenização por danos materiais causados,2026-01-13,Não Avaliada,,2026,1
Banco Itaú Unibanco,RS,São Leopoldo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Negativação indevida referente à pagamento já efetuado,2026-01-12,Não Avaliada,,2026,1
Mercado Pago,SP,Birigüi,Empresas de Pagamento Eletrônico,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-11,Não Resolvida,1.0,2026,1
Claro Residencial,RS,Caxias do Sul,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-12,Não Avaliada,,2026,1
Azul Linhas Aéreas,PB,João Pessoa,Transporte Aéreo,Transportes,Aéreo,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-03-26,Não Avaliada,,2026,3
Latam Airlines (Tam),MA,Imperatriz,Transporte Aéreo,Transportes,Aéreo,Cancelamento de voo,2026-01-12,,,2026,1
Claro Celular,SP,Sorocaba,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,Ligações indesejadas de telemarketing (0303),2026-02-10,Não Resolvida,1.0,2026,2
Banco Daycoval,AM,Manaus,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-07,Não Avaliada,,2026,1
99Pay,GO,Senador Canedo,Empresas de Pagamento Eletrônico,Serviços Financeiros,Serviço de pagamento online/ via celular/ maquininha,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-04,Não Avaliada,,2026,1
Delta Air Lines,MS,Campo Grande,Transporte Aéreo,Demais Serviços,"Programas de Fidelidade / Benefícios (pontos, milhagem etc)",Dificuldade de contato / demora no atendimento,2026-01-20,Resolvida,5.0,2026,1
CPFL Paulista,SP,Amparo,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança por serviços não realizados / atrasados ou por consumo elevado,2026-01-12,,,2026,1
Banco Mercantil do Brasil,PR,Curitiba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Dificuldade de contato / acesso a outros canais (exceto SAC),2026-03-24,,,2026,3
Banco do Brasil,RS,Sapucaia do Sul,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Negativação indevida referente à pagamento já efetuado,2026-01-11,Não Avaliada,,2026,1
Vivo - Telefônica,MG,Montes Claros,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-06,,,2026,1
Recovery do Brasil Consultoria,PR,Ouro Verde do Oeste,Empresas de Recuperação de Crédito,Serviços Financeiros,Financiamentos de Veículos / Leasing,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-02-05,Não Avaliada,,2026,2
Banco Safra,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-03-09,Não Avaliada,,2026,3
Uber,BA,Feira de Santana,Empresas de Intermediação de Serviços / Negócios,Demais Serviços,Aplicativo de mobilidade urbana,Dificuldade de contato / demora no atendimento,2026-01-12,,,2026,1
Banco do Brasil,AP,Laranjal do Jari,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Não entrega do contrato ou documentação relacionada ao serviço,2026-01-05,,,2026,1
Neoenergia Cosern,RN,Canguaretama,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Dificuldade de cancelamento / eliminação de dados / revogação do consentimento,2026-01-09,,,2026,1
OLX Pay,MG,Belo Horizonte,Empresas de Pagamento Eletrônico,Demais Produtos,"Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.)",Não entrega / demora na entrega do produto,2026-01-05,Resolvida,4.0,2026,1
Banco do Brasil,PR,Curitiba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida - desconhece motivo e/ou fornecedor,2026-01-08,Não Avaliada,,2026,1
Caixa Econômica Federal,RJ,Rio de Janeiro,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamento de Imóveis,Renegociação / parcelamento de dívida,2026-01-14,Não Avaliada,,2026,1
Serasa Experian,CE,Icó,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-10,Não Avaliada,,2026,1
Faculdade Pitágoras,MG,Belo Horizonte,Estabelecimentos de Ensino,Educação,Superior ( Graduação e Pós ),"Negativação indevida (SPC, Serasa, SCPC etc)",2026-03-09,Não Avaliada,,2026,3
Bradesco Cartões,RS,Porto Alegre,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-03-12,Não Avaliada,,2026,3
Magazine Luiza - Loja Física,RS,Novo Hamburgo,Varejo,Demais Produtos,Móveis e Colchões,Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,2026-03-01,Não Avaliada,,2026,3
Mercado Livre,SP,Cajati,Empresas de Intermediação de Serviços / Negócios,Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-04-25,Não Resolvida,1.0,2026,4
Azul Fidelidade (Antiga Tudo Azul),SP,Campinas,Programas de Fidelidade,Demais Serviços,"Programas de Fidelidade / Benefícios (pontos, milhagem etc)",Alteração / rescisão de contrato sem solicitação / aviso prévio,2026-01-13,,,2026,1
Azul Linhas Aéreas,MT,Barra do Garças,Transporte Aéreo,Transportes,Aéreo,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),2026-01-07,Resolvida,5.0,2026,1
Tim,PR,Curitiba,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,Dificuldade de contato / demora no atendimento,2026-01-12,Não Avaliada,,2026,1
Amil,SP,Santo André,Operadoras de Planos de Saúde e Administradoras de Benefícios,Saúde,"Plano de Saúde (convênio, autogestão, seguro saúde )",Alteração / rescisão de contrato sem solicitação / aviso prévio,2026-03-24,Não Avaliada,,2026,3
