empresa,estado,cidade,segmento,area,assunto,problema,data_abertura,classificacao,nota_satisfacao,ano,mes
Banco do Brasil,MG,Divinópolis,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-03-17,Não Resolvida,1.0,2026,3
BRK Ambiental Tocantins (Saneatins),TO,Palmas,Agua e Saneamento,"Água, Energia, Gás",Água e Esgoto,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,2026-01-02,Não Avaliada,,2026,1
Magazine Luiza - Loja Online,RS,Passo Fundo,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)",Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-02-02,Não Resolvida,2.0,2026,2
Casasbahia.com,SP,Rio Claro,Comércio Eletrônico,Demais Produtos,Móveis e Colchões,Não entrega / demora na entrega do produto,2026-01-14,Não Avaliada,,2026,1
Porto Seguro Cia de Seguros Gerais,SP,Praia Grande,"Seguros, Capitalização e Previdência",Demais Serviços,Segurança / monitoramento / rastreamento,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-14,Não Avaliada,,2026,1
Decolar.com,SP,São Paulo,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Hospedagem,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-02-23,Não Resolvida,1.0,2026,2
Banco BV (antigo Banco Votorantim),SP,São José dos Campos,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Busca e apreensão indevida,2026-01-07,Não Avaliada,,2026,1
EDP São Paulo,SP,Barueri,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança por serviços não realizados / atrasados ou por consumo elevado,2026-01-12,Resolvida,5.0,2026,1
Gol Linhas Aéreas,DF,Brasília,Transporte Aéreo,Transportes,Aéreo,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-01,,,2026,1
BrasilCard,MG,Sarzedo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-13,Não Avaliada,,2026,1
Caixa Econômica Federal,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Renegociação / parcelamento de dívida,2026-01-12,Não Avaliada,,2026,1
PicPay,PA,Moju,Empresas de Pagamento Eletrônico,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente à pagamento já efetuado,2026-01-01,Não Avaliada,,2026,1
Itauleasing,GO,Goiânia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Má qualidade no atendimento presencial ou outros canais (exceto SAC),2026-03-11,Não Avaliada,,2026,3
Banco Inter (Banco Intermedium),PE,Glória do Goitá,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-04,Não Avaliada,,2026,1
Serasa Experian,SP,São Paulo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Dificuldade de reclamar ou de obter tratamento a reclamação sobre dados pessoais ou financeiros,2026-03-18,Não Avaliada,,2026,3
Claro Residencial,RJ,Rio de Janeiro,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança após cancelamento do serviço,2026-03-24,Não Avaliada,,2026,3
Latam Airlines (Tam),SP,São José do Rio Preto,Transporte Aéreo,Transportes,Aéreo,Cancelamento de voo,2026-01-11,Não Avaliada,,2026,1
Serasa Experian,MG,Conselheiro Lafaiete,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-13,Não Avaliada,,2026,1
Banco Itaú Unibanco,SP,Guarulhos,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,Dificuldade de contato / acesso a outros canais (exceto SAC),2026-02-05,Não Resolvida,1.0,2026,2
Vivo - Telefônica,SP,São José do Rio Preto,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-03,Resolvida,5.0,2026,1
Picpay Instituição de Pagamento S/A,GO,Goiânia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-02-19,Não Avaliada,,2026,2
Serasa Experian,PR,Londrina,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Cadastro Positivo,Renegociação / parcelamento de dívida,2026-03-16,Não Resolvida,1.0,2026,3
Serasa Experian,SP,Ourinhos,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito)",2026-01-08,Não Avaliada,,2026,1
Light,RJ,Rio de Janeiro,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,"Faturamento Mini/Microgeração - erro no cálculo/uso dos créditos (energia solar, eólica etc)",2026-01-09,Resolvida,5.0,2026,1
Banco Pan,PR,Curitiba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,"Venda casada (imposição de seguro, empréstimo, título de capitalização etc)",2026-01-05,,,2026,1
BRB - Banco de Brasília,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Portabilidade não efetivada,2026-01-08,Não Avaliada,,2026,1
Nubank,RO,Porto Velho,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-02-25,Não Resolvida,1.0,2026,2
Hurb - Hotel Urbano,MG,Belo Horizonte,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Pacote / excursão / agência de turismo,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-25,Não Avaliada,,2026,1
Serasa Experian,BA,Tucano,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-06,Não Avaliada,,2026,1
Universo Online - UOL,RS,Porto Alegre,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-02-02,Não Avaliada,,2026,2
Banco Pan,RJ,Maricá,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-04,Não Avaliada,,2026,1
Serasa Experian,MA,São Luís,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Impossibilidade / dificuldade de revisão do score / pontuação,2026-01-03,Não Avaliada,,2026,1
Will Bank,TO,Juarina,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-23,Não Avaliada,,2026,1
iFood,MG,Paracatu,Empresas de Intermediação de Serviços / Negócios,Demais Serviços,Serviços de entrega / delivery,Má qualidade do serviço,2026-01-04,,,2026,1
Azul Linhas Aéreas,MG,Poços de Caldas,Transporte Aéreo,Transportes,Aéreo,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",2026-01-13,Não Avaliada,,2026,1
Banco Santander,SP,Itapira,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Negativação indevida referente à pagamento já efetuado,2026-01-10,Não Avaliada,,2026,1
Banco do Brasil,MS,Campo Grande,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-03-25,Não Avaliada,,2026,3
Claro Celular,PE,Petrolina,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento),2026-01-12,Não Avaliada,,2026,1
Bradesco Financiamentos,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Não entrega do contrato ou documentação relacionada ao serviço,2026-01-09,Não Avaliada,,2026,1
Midway (Riachuelo),SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Demais Seguros,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-04-14,Resolvida,5.0,2026,4
NEON Financeira,SP,Sorocaba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-01,Não Avaliada,,2026,1
RecargaPay,RJ,Rio de Janeiro,Empresas de Pagamento Eletrônico,Serviços Financeiros,Serviço de pagamento online/ via celular/ maquininha,Má qualidade no atendimento (descortesia / despreparo/ constrangimento),2026-01-01,,,2026,1
